RPT_REC_NUM,PRVDR_CTRL_TYPE_CD,PRVDR_NUM,RPT_STUS_CD,filed_date,fy_start_date,fy_end_date,source_year,days_in_period,most_recent,acute_beds_0700,icu_beds_0800,extra_0899,coronary_beds_0900,extra_0999,burn_beds_1000,extra_1099,surg_icu_beds_1100,extra_1199,oth_spec_beds_1200,extra_1299,subtotal_acute_beds_1400,subprovider_ipf_beds_1600,subprovider_irf_beds_1700,subprovider_oth_beds_1800,skilled_nursing_beds_1900,nursing_fac_beds_2000,oth_longterm_beds_2100,hospice_beds_2400,all_beds_2700,labor_delivery_beds_3200,acute_bed_days_0700,icu_bed_days_0800,extra_days_0899,coronary_bed_days_0900,extra_days_0999,burn_bed_days_1000,extra_days_1099,oth_spec_bed_days_1100,extra_days_1199,oth_spec_bed_days_1200,extra_days_1299,subtotal_acute_bed_days_1400,subprovider_ipf_bed_days_1600,subprovider_irf_bed_days_1700,subprovider_oth_bed_days_1800,skilled_nursing_bed_days_1900,nursing_fac_bed_days_2000,oth_longterm_bed_days_2100,hospice_bed_days_2400,obs_bed_days_2800,labor_delivery_bed_days_3200,subtotal_acute_utilization,all_beds_utilization
624301,5,262020,2,2017-06-02,2016-01-01,2016-12-31,2016,365,f,42,,,,,,,,,,,42,,,,,,,,42,,,,,,,,,,,,,8920,,,,,,,,,,58.0000,
624325,4,451372,2,2017-02-27,2015-10-01,2016-09-30,2016,365,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,1324,,,,,,,,105,,14.0000,
624354,4,222048,2,2017-03-03,2015-10-01,2016-09-30,2016,365,f,88,,,,,,,,,,,88,,,,,,,,88,,,,,,,,,,,,,17090,,,,,,,,,,53.0000,
636820,2,240076,5,2018-09-04,2016-01-01,2016-12-31,2016,365,f,44,,,,,,,,,,,44,,,,,,,,44,4,,,,,,,,,,,,6823,,,,,,,,966,,42.0000,
633027,2,514001,2,2017-03-02,2015-10-01,2016-09-30,2016,365,f,40,,,,,,,,,,,40,,,,,,,,40,,,,,,,,,,,,,8555,,,,,,,,,,58.0000,
633042,4,54146,2,2017-11-30,2016-07-01,2017-06-30,2016,364,f,26,,,,,,,,,,,26,,,,,,,,26,,,,,,,,,,,,,7773,,,,,,,,,,82.0000,
633055,2,404009,2,2017-08-31,2016-04-01,2017-03-31,2016,364,f,44,,,,,,,,,,,44,,,,,,,,44,,,,,,,,,,,,,12846,,,,,,,,,,80.0000,
633062,4,454064,2,2017-05-12,2016-01-01,2016-12-31,2016,365,f,80,,,,,,,,,,,80,,,,,,,,80,,,,,,,,,,,,,20170,,,,,,,,,,69.0000,
633067,4,42009,2,2017-10-25,2016-06-01,2017-05-31,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,5973,,,,,,,,,,65.0000,
633068,2,50441,5,2018-09-07,2016-09-01,2017-08-31,2016,364,f,380,59,,8,,,,,,,,447,30,,,,,,,477,,,17979,,2554,,,,,,,,145957,9541,,,,,,,4321,,89.0000,
633176,4,464013,2,2017-04-10,2016-01-01,2016-12-31,2016,365,f,118,,,,,,,,,,,118,,,,,,,,118,,,,,,,,,,,,,23235,,,,,,,,,,53.0000,
633186,4,102003,2,2017-05-23,2016-01-01,2016-12-31,2016,365,f,80,,,,,,,,,,,80,,,,,,,,80,,,,,,,,,,,,,22546,,,,,,,,,,77.0000,
633226,5,370210,2,2017-05-31,2016-01-01,2016-12-31,2016,365,f,76,,,,,,,,,,,76,,,,,,,,76,,,,,,,,,,,,,8416,,,,,,,,1204,,30.0000,
633249,4,454012,2,2017-04-07,2016-01-01,2016-12-31,2016,365,f,122,,,,,,,,,,,122,,,,,,,,122,,,,,,,,,,,,,35592,,,,,,,,,,79.0000,
633253,1,521305,5,2018-09-26,2016-01-01,2016-12-31,2016,365,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,3857,,,,,,,,136,,42.0000,
633270,8,161305,2,2017-11-27,2016-07-01,2017-06-30,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,1048,,,,,,,,102,,11.0000,
633286,1,371304,2,2017-11-21,2016-07-01,2017-06-30,2016,364,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,1536,,,,,,,,129,,16.0000,
